Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaFork,4,2,15,389
mmClasicaFork,4,2,16,412
mmClasicaFork,4,2,17,363
mmClasicaFork,4,2,18,528
mmClasicaFork,4,2,19,374
mmClasicaFork,4,2,20,356
mmClasicaFork,4,2,21,396
mmClasicaFork,4,2,22,475
mmClasicaFork,4,2,23,878
mmClasicaFork,4,2,24,935
mmClasicaFork,4,2,25,996
mmClasicaFork,4,2,26,479
mmClasicaFork,4,2,27,392
mmClasicaFork,4,2,28,361
mmClasicaFork,4,2,29,388
mmClasicaFork,4,2,30,383
mmClasicaFork,4,4,1,563
mmClasicaFork,4,4,2,659
mmClasicaFork,4,4,3,978
mmClasicaFork,4,4,4,544
mmClasicaFork,4,4,5,501
mmClasicaFork,4,4,6,593
mmClasicaFork,4,4,7,705
mmClasicaFork,4,4,8,1056
mmClasicaFork,4,4,9,1725
mmClasicaFork,4,4,10,533
mmClasicaFork,4,4,11,668
mmClasicaFork,4,4,12,996
mmClasicaFork,4,4,13,1177
mmClasicaFork,4,4,14,891
mmClasicaFork,4,4,15,600
mmClasicaFork,4,4,16,535
mmClasicaFork,4,4,17,652
mmClasicaFork,4,4,18,552
mmClasicaFork,4,4,19,662
mmClasicaFork,4,4,20,594
mmClasicaFork,4,4,21,675
mmClasicaFork,4,4,22,541
mmClasicaFork,4,4,23,523
mmClasicaFork,4,4,24,645
mmClasicaFork,4,4,25,551
mmClasicaFork,4,4,26,546
mmClasicaFork,4,4,27,612
mmClasicaFork,4,4,28,495
mmClasicaFork,4,4,29,656
mmClasicaFork,4,4,30,600
mmClasicaFork,4,8,1,992
mmClasicaFork,4,8,2,937
mmClasicaFork,4,8,3,941
mmClasicaFork,4,8,4,816
mmClasicaFork,4,8,5,909
mmClasicaFork,4,8,6,1841
mmClasicaFork,4,8,7,1680
mmClasicaFork,4,8,8,1248
mmClasicaFork,4,8,9,2135
mmClasicaFork,4,8,10,1562
mmClasicaFork,4,8,11,1366
mmClasicaFork,4,8,12,821
mmClasicaFork,4,8,13,817
mmClasicaFork,4,8,14,858
mmClasicaFork,4,8,15,1650
mmClasicaFork,4,8,16,1342
mmClasicaFork,4,8,17,908
mmClasicaFork,4,8,18,987
mmClasicaFork,4,8,19,836
mmClasicaFork,4,8,20,2422
mmClasicaFork,4,8,21,2123
mmClasicaFork,4,8,22,1002
mmClasicaFork,4,8,23,930
mmClasicaFork,4,8,24,869
mmClasicaFork,4,8,25,1032
mmClasicaFork,4,8,26,735
mmClasicaFork,4,8,27,909
mmClasicaFork,4,8,28,1075
mmClasicaFork,4,8,29,1011
mmClasicaFork,4,8,30,1000
