Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaPosix,4,1,5,257
mmClasicaPosix,4,1,6,228
mmClasicaPosix,4,1,7,904
mmClasicaPosix,4,1,8,217
mmClasicaPosix,4,1,9,238
mmClasicaPosix,4,1,10,249
mmClasicaPosix,4,1,11,227
mmClasicaPosix,4,1,12,241
mmClasicaPosix,4,1,13,226
mmClasicaPosix,4,1,14,239
mmClasicaPosix,4,1,15,237
mmClasicaPosix,4,1,16,257
mmClasicaPosix,4,1,17,251
mmClasicaPosix,4,1,18,240
mmClasicaPosix,4,1,19,249
mmClasicaPosix,4,1,20,294
mmClasicaPosix,4,1,21,276
mmClasicaPosix,4,1,22,241
mmClasicaPosix,4,1,23,234
mmClasicaPosix,4,1,24,247
mmClasicaPosix,4,1,25,249
mmClasicaPosix,4,1,26,229
mmClasicaPosix,4,1,27,224
mmClasicaPosix,4,1,28,246
mmClasicaPosix,4,1,29,231
mmClasicaPosix,4,1,30,217
mmClasicaPosix,4,2,1,302
mmClasicaPosix,4,2,2,278
mmClasicaPosix,4,2,3,240
mmClasicaPosix,4,2,4,260
mmClasicaPosix,4,2,5,268
mmClasicaPosix,4,2,6,244
mmClasicaPosix,4,2,7,232
mmClasicaPosix,4,2,8,290
mmClasicaPosix,4,2,9,229
mmClasicaPosix,4,2,10,306
mmClasicaPosix,4,2,11,274
mmClasicaPosix,4,2,12,247
mmClasicaPosix,4,2,13,305
mmClasicaPosix,4,2,14,241
mmClasicaPosix,4,2,15,273
mmClasicaPosix,4,2,16,345
mmClasicaPosix,4,2,17,327
mmClasicaPosix,4,2,18,245
mmClasicaPosix,4,2,19,237
mmClasicaPosix,4,2,20,309
mmClasicaPosix,4,2,21,245
mmClasicaPosix,4,2,22,249
mmClasicaPosix,4,2,23,244
mmClasicaPosix,4,2,24,290
mmClasicaPosix,4,2,25,263
mmClasicaPosix,4,2,26,240
mmClasicaPosix,4,2,27,268
mmClasicaPosix,4,2,28,224
mmClasicaPosix,4,2,29,233
mmClasicaPosix,4,2,30,254
mmClasicaPosix,4,4,1,255
mmClasicaPosix,4,4,2,312
mmClasicaPosix,4,4,3,270
mmClasicaPosix,4,4,4,275
mmClasicaPosix,4,4,5,265
mmClasicaPosix,4,4,6,265
mmClasicaPosix,4,4,7,309
mmClasicaPosix,4,4,8,379
mmClasicaPosix,4,4,9,380
mmClasicaPosix,4,4,10,494
mmClasicaPosix,4,4,11,349
mmClasicaPosix,4,4,12,353
mmClasicaPosix,4,4,13,520
mmClasicaPosix,4,4,14,277
mmClasicaPosix,4,4,15,547
