Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaOpenMP,4,4,21,170
mmClasicaOpenMP,4,4,22,1431
mmClasicaOpenMP,4,4,23,3168
mmClasicaOpenMP,4,4,24,1796
mmClasicaOpenMP,4,4,25,179
mmClasicaOpenMP,4,4,26,164
mmClasicaOpenMP,4,4,27,170
mmClasicaOpenMP,4,4,28,168
mmClasicaOpenMP,4,4,29,177
mmClasicaOpenMP,4,4,30,163
mmClasicaOpenMP,4,8,1,254
mmClasicaOpenMP,4,8,2,277
mmClasicaOpenMP,4,8,3,262
mmClasicaOpenMP,4,8,4,257
mmClasicaOpenMP,4,8,5,330
mmClasicaOpenMP,4,8,6,319
mmClasicaOpenMP,4,8,7,307
mmClasicaOpenMP,4,8,8,1198
mmClasicaOpenMP,4,8,9,283
mmClasicaOpenMP,4,8,10,325
mmClasicaOpenMP,4,8,11,443
mmClasicaOpenMP,4,8,12,1570
mmClasicaOpenMP,4,8,13,238
mmClasicaOpenMP,4,8,14,241
mmClasicaOpenMP,4,8,15,371
mmClasicaOpenMP,4,8,16,271
mmClasicaOpenMP,4,8,17,300
mmClasicaOpenMP,4,8,18,336
mmClasicaOpenMP,4,8,19,1154
mmClasicaOpenMP,4,8,20,287
mmClasicaOpenMP,4,8,21,405
mmClasicaOpenMP,4,8,22,297
mmClasicaOpenMP,4,8,23,325
mmClasicaOpenMP,4,8,24,342
mmClasicaOpenMP,4,8,25,372
mmClasicaOpenMP,4,8,26,327
mmClasicaOpenMP,4,8,27,223
mmClasicaOpenMP,4,8,28,282
mmClasicaOpenMP,4,8,29,348
mmClasicaOpenMP,4,8,30,262
