Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmFilasOpenMP,4,2,10,53
mmFilasOpenMP,4,2,11,62
mmFilasOpenMP,4,2,12,50
mmFilasOpenMP,4,2,13,173
mmFilasOpenMP,4,2,14,1779
mmFilasOpenMP,4,2,15,249
mmFilasOpenMP,4,2,16,50
mmFilasOpenMP,4,2,17,50
mmFilasOpenMP,4,2,18,50
mmFilasOpenMP,4,2,19,49
mmFilasOpenMP,4,2,20,46
mmFilasOpenMP,4,2,21,67
mmFilasOpenMP,4,2,22,94
mmFilasOpenMP,4,2,23,53
mmFilasOpenMP,4,2,24,50
mmFilasOpenMP,4,2,25,49
mmFilasOpenMP,4,2,26,134
mmFilasOpenMP,4,2,27,80
mmFilasOpenMP,4,2,28,73
mmFilasOpenMP,4,2,29,73
mmFilasOpenMP,4,2,30,80
mmFilasOpenMP,4,4,1,116
mmFilasOpenMP,4,4,2,123
mmFilasOpenMP,4,4,3,214
mmFilasOpenMP,4,4,4,728
mmFilasOpenMP,4,4,5,129
mmFilasOpenMP,4,4,6,99
mmFilasOpenMP,4,4,7,122
mmFilasOpenMP,4,4,8,3493
mmFilasOpenMP,4,4,9,3184
mmFilasOpenMP,4,4,10,6375
mmFilasOpenMP,4,4,11,3158
mmFilasOpenMP,4,4,12,161
mmFilasOpenMP,4,4,13,108
mmFilasOpenMP,4,4,14,115
mmFilasOpenMP,4,4,15,115
mmFilasOpenMP,4,4,16,107
mmFilasOpenMP,4,4,17,131
mmFilasOpenMP,4,4,18,132
mmFilasOpenMP,4,4,19,117
mmFilasOpenMP,4,4,20,2796
mmFilasOpenMP,4,4,21,108
mmFilasOpenMP,4,4,22,108
mmFilasOpenMP,4,4,23,3903
mmFilasOpenMP,4,4,24,408
mmFilasOpenMP,4,4,25,4795
mmFilasOpenMP,4,4,26,1639
mmFilasOpenMP,4,4,27,2142
mmFilasOpenMP,4,4,28,882
mmFilasOpenMP,4,4,29,133
mmFilasOpenMP,4,4,30,138
mmFilasOpenMP,4,8,1,312
mmFilasOpenMP,4,8,2,285
mmFilasOpenMP,4,8,3,252
mmFilasOpenMP,4,8,4,293
mmFilasOpenMP,4,8,5,729
mmFilasOpenMP,4,8,6,589
mmFilasOpenMP,4,8,7,723
mmFilasOpenMP,4,8,8,358
mmFilasOpenMP,4,8,9,1096
mmFilasOpenMP,4,8,10,270
mmFilasOpenMP,4,8,11,361
